ID,Date,Democrat,Republican,Mode,538 Rating,Sample Subpopulation,MoE,Sponsor,Source,Headline
3,1/24/2017,0.48,0.4,IVR/Online,B+,Likely Voters,3,,Public Policy Polling (D),
4,1/31/2017,0.45,0.42,IVR/Online,B+,Likely Voters,3.6,,Public Policy Polling (D),
5,2/8/2017,0.49,0.41,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D),
6,2/22/2017,0.46,0.43,IVR/Online,B+,Likely Voters,3.2,,Public Policy Polling (D),
7,3/12/2017,0.46,0.41,IVR/Online,B+,Likely Voters,3.4,,Public Policy Polling (D),
8,3/27/2017,0.47,0.38,Live Phone,A,Registered Voters,3.3,,McClatchy/Marist,
9,3/28/2017,0.48,0.43,IVR/Online,B+,Likely Voters,3.8,,Public Policy Polling (D),
10,4/1/2017,0.41,0.39,Internet,-,Registered Voters,2,Politico,Morning Consult,
11,4/9/2017,0.43,0.4,Internet,-,Registered Voters,2,Politico,Morning Consult,
12,4/11/2017,0.4,0.37,Internet,B,Adults,3.2,Economist,YouGov,
13,4/12/2017,0.45,0.38,Live Phone,A,Registered Voters,3.3,,McClatchy/Marist,
14,4/15/2017,0.4,0.4,Internet,-,Registered Voters,2,Politico,Morning Consult,
15,4/18/2017,0.47,0.41,IVR/Online,B+,Likely Voters,3.9,,Public Policy Polling (D),
16,4/18/2017,0.38,0.32,Internet,B,Adults,3.1,Economist,YouGov,
17,4/20/2017,0.47,0.42,IVR/Online,B-,Registered Voters,2.4,Orlando Political Observer,Gravis Marketing,
18,4/24/2017,0.4,0.44,Internet,-,Registered Voters,2,Morning Consult,Politico,
19,4/25/2017,0.47,0.42,Live Phone,A,Registered Voters,3,FOX News,Anderson Robbins Research/Shaw & Company Research,
20,4/25/2017,0.39,0.34,Internet,B,Adults,3.2,Economist,YouGov,
21,4/25/2017,0.5,0.41,Live Phone,A-,Adults,3,CNN,Opinion Research Corp,
22,4/30/2017,0.41,0.41,Internet,-,Registered Voters,2,Morning Consult,Politico,
23,5/2/2017,0.38,0.35,Internet,B,Adults,3.1,Economist,YouGov,
24,5/6/2017,0.42,0.36,Internet,-,Registered Voters,2,Politico,Morning Consult,
25,5/9/2017,0.4,0.35,Internet,B,Registered Voters,nan,Economist,YouGov,
26,5/11/2017,0.42,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult,
27,5/11/2017,0.42,0.37,Internet,-,Registered Voters,2,Politico,Morning Consult,
28,5/14/2017,0.49,0.38,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D),
29,5/14/2017,0.42,0.35,Internet,-,Registered Voters,2,Politico,Morning Consult,
30,5/14/2017,0.42,0.35,Internet,-,Registered Voters,2,Politico,Morning Consult,
31,5/14/2017,0.49,0.38,IVR/Online,B+,Likely Voters,3.7,,Public Policy Polling (D),
